City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,la'ie,21.6477,-157.9253,22.28,80,66,2.24,US,2025-02-05
297,rikaze,29.25,88.8833,-3.48,30,0,0.75,CN,2025-02-05
298,petauke,-14.2426,31.3253,18.91,98,100,0.99,ZM,2025-02-05
299,mossendjo,-2.9506,12.7261,21.83,99,100,0.24,CG,2025-02-05
300,ratekau,53.95,10.7333,2.96,81,100,3.09,DE,2025-02-05
301,saacow,1.6279,42.4407,24.74,67,97,5.45,SO,2025-02-05
302,kokopo,-4.352,152.2633,29.07,69,100,4.43,PG,2025-02-05
303,cockburn town,21.4612,-71.1419,24.96,70,23,8.55,TC,2025-02-05
304,pangody,65.85,74.4859,-20.11,100,89,3.28,RU,2025-02-05
305,taseyevo,57.2169,94.8978,-17.78,96,92,3.06,RU,2025-02-05
306,leh,34.1667,77.5833,-13.98,98,100,0.62,IN,2025-02-05
307,mendi,-6.1761,143.6513,19.0,82,100,1.82,PG,2025-02-05
308,york,40.1254,-77.0,2.55,45,0,2.57,US,2025-02-05
309,roma,43.2128,-75.4557,-4.92,80,100,5.14,US,2025-02-05
310,al fayyum,29.31,30.8418,12.02,81,6,2.84,EG,2025-02-05
311,newtown trim,53.5561,-6.77,3.74,89,100,5.59,IE,2025-02-05
312,klaksvik,62.2266,-6.589,4.9,66,9,10.53,FO,2025-02-05
313,talcahuano,-36.7167,-73.1167,16.82,77,0,3.6,CL,2025-02-05
314,zanjan,36.6736,48.4787,0.1,47,65,1.57,IR,2025-02-05
315,okhotsk,59.3833,143.3,-25.73,82,38,4.58,RU,2025-02-05
316,claudio,-20.4433,-44.7658,19.71,88,14,1.28,BR,2025-02-05
317,takoradi,4.8845,-1.7554,26.65,85,11,3.79,GH,2025-02-05
318,dzhambeyty,50.2536,52.595,-9.97,84,80,4.48,KZ,2025-02-05
319,merizo village,13.2658,144.6691,29.31,82,82,7.81,GU,2025-02-05
320,saint-francois,46.4154,3.9054,-1.85,100,100,1.03,FR,2025-02-05
321,sao joao da barra,-21.6403,-41.0511,25.31,86,0,9.18,BR,2025-02-05
322,labytnangi,66.6572,66.4183,-23.17,97,100,3.39,RU,2025-02-05
323,kingston,17.997,-76.7936,27.53,61,20,3.09,JM,2025-02-05
324,lawas,13.764,121.0566,26.19,79,98,4.7,PH,2025-02-05
325,zaozersk,69.4005,32.4476,-17.96,89,100,4.11,RU,2025-02-05
326,berrotaran,-32.451,-64.3887,22.27,55,3,0.9,AR,2025-02-05
327,moussoro,13.6408,16.4901,20.72,14,0,5.66,TD,2025-02-05
328,kitimat,54.0524,-128.6534,-8.92,70,0,3.22,CA,2025-02-05
329,xichang,27.8964,102.2634,6.49,76,94,0.38,CN,2025-02-05
330,manokwari,-0.8667,134.0833,27.55,74,100,1.57,ID,2025-02-05
331,mogocha,53.7333,119.7667,-24.29,92,100,2.87,RU,2025-02-05
332,sindgi,16.9167,76.2333,21.55,37,18,3.86,IN,2025-02-05
333,muli,2.9167,73.5667,27.37,63,18,5.54,MV,2025-02-05
334,tralee,52.2704,-9.7026,5.98,76,26,5.24,IE,2025-02-05
335,mana,5.6592,-53.7767,25.32,86,100,4.11,GF,2025-02-05
336,sovetskiy,61.3614,63.5842,-13.59,97,99,0.58,RU,2025-02-05
337,malpica,43.3228,-8.8105,10.68,100,99,3.04,ES,2025-02-05
338,tofol,5.3248,163.0078,26.88,89,100,5.14,FM,2025-02-05
339,utrik,11.2278,169.8474,26.64,80,16,9.56,MH,2025-02-05
340,peniche,39.3558,-9.3811,10.25,91,10,2.3,PT,2025-02-05
341,san antonio de pale,-1.4014,5.6325,27.35,80,99,4.03,GQ,2025-02-05
